"reptile_ntaxa.x","reptile_mpd.obs","reptile_mpd.rand.mean","reptile_mpd.rand.sd","reptile_mpd.obs.rank","reptile_mpd.obs.z","reptile_mpd.obs.p","reptile_runs.x","reptile_NRI","grid_id","reptile_ntaxa.y","reptile_mntd.obs","reptile_mntd.rand.mean","reptile_mntd.rand.sd","reptile_mntd.obs.rank","reptile_mntd.obs.z","reptile_mntd.obs.p","reptile_runs.y","reptile_NTI","reptile_richness","reptile_PD_obs","reptile_pd_rand_mean","reptile_pd_rand_sd","reptile_pd_obs_rank","reptile_zscore","reptile_pd_obs_p","reptile_reps"
3,263.299477333333,317.954494369703,79.7455362713315,119,-0.685367728300274,0.119,999,0.685367728300274,10107,3,150.072566666667,280.358897060394,97.2625178514913,107,-1.33953277451299,0.107,999,1.33953277451299,3,424.415233,517.623658718,7032.36536347854,97,-1.11148718474924,0.0969030969030969,1000
3,263.299477333333,317.954494369703,79.7455362713315,119,-0.685367728300274,0.119,999,0.685367728300274,10108,3,150.072566666667,280.358897060394,97.2625178514913,107,-1.33953277451299,0.107,999,1.33953277451299,3,424.415233,517.623658718,7032.36536347854,97,-1.11148718474924,0.0969030969030969,1000
4,233.087558,318.552514495996,63.1551727413114,62,-1.3532534673932,0.062,999,1.3532534673932,10109,4,141.566991,250.587178832833,79.3799497100684,78,-1.37339703830783,0.078,999,1.37339703830783,4,482.440365,644.293393855,11151.7839587471,52,-1.53267000220143,0.051948051948052,1000
4,233.087558,318.552514495996,63.1551727413114,62,-1.3532534673932,0.062,999,1.3532534673932,10110,4,141.566991,250.587178832833,79.3799497100684,78,-1.37339703830783,0.078,999,1.37339703830783,4,482.440365,644.293393855,11151.7839587471,52,-1.53267000220143,0.051948051948052,1000
5,270.179937,320.462779295996,53.022156872145,138,-0.948336417495152,0.138,999,0.948336417495152,10111,5,107.4262584,230.6178228,66.5882394801114,29,-1.85004987910508,0.029,999,1.85004987910508,5,569.287794,760.2059793,13943.7638037354,58,-1.61680367965907,0.0579420579420579,1000
6,248.461905466667,320.635658969703,47.7123808593384,65,-1.51268396594613,0.065,999,1.51268396594613,10112,6,102.524063,216.597370914915,56.5023256638934,24,-2.01891349735735,0.024,999,2.01891349735735,6,608.294337,869.067813514,15940.6085873129,25,-2.06543231631471,0.024975024975025,1000
6,248.461905466667,320.635658969703,47.7123808593384,65,-1.51268396594613,0.065,999,1.51268396594613,10113,6,102.524063,216.597370914915,56.5023256638934,24,-2.01891349735735,0.024,999,2.01891349735735,6,608.294337,869.067813514,15940.6085873129,25,-2.06543231631471,0.024975024975025,1000
6,248.461905466667,320.635658969703,47.7123808593384,65,-1.51268396594613,0.065,999,1.51268396594613,10114,6,102.524063,216.597370914915,56.5023256638934,24,-2.01891349735735,0.024,999,2.01891349735735,6,608.294337,869.067813514,15940.6085873129,25,-2.06543231631471,0.024975024975025,1000
7,227.277920380952,321.216281049049,42.1334196210656,30,-2.2295451333632,0.03,999,2.2295451333632,10115,7,94.9343125714286,206.623670486486,50.0915684058718,13,-2.22970374994219,0.013,999,2.22970374994219,7,632.992242,969.77140661,17646.4822587847,10,-2.53522286694801,0.00999000999000999,1000
9,275.7754915,321.758905312034,35.2675355727291,116,-1.30384539393763,0.116,999,1.30384539393763,10116,9,109.575159555556,188.902673114225,38.9468162848997,22,-2.03681638515409,0.022,999,2.03681638515409,9,851.861319,1166.4250873745,22973.999043535,21,-2.07534546125709,0.020979020979021,1000
