"Estimate","Cond. SE","t_value","item","class","diversity_index"
-0.0350652633446218,0.0929869972913288,-0.377098566101259,"(Intercept)","amphibian","FD.FRic"
0.190570338551364,0.0464505686574651,4.10264812809212,"prec","amphibian","FD.FRic"
0.0792140177371227,0.039560353320766,2.00235870228039,"tavg","amphibian","FD.FRic"
-0.272882076995481,0.104206099748139,-2.61867661926723,"LGM_sat_velocity","amphibian","FD.FRic"
-0.0848748189232587,0.0709225827563464,-1.19672487414686,"LGM_dO_velocity","amphibian","FD.FRic"
0.0842533568919561,0.0191747482138867,4.39397461453697,"X50km_range","amphibian","FD.FRic"
0.00427034078222818,0.00922886445499185,0.462715733127749,"pop_10000BC_value","amphibian","FD.FRic"
-0.045088460889683,0.119565861451986,-0.377101459748937,"(Intercept)","amphibian","FD.FEve"
-0.0421475336578944,0.0609034691206699,-0.692038306954014,"prec","amphibian","FD.FEve"
-0.19738577154352,0.0501698124379159,-3.93435338806141,"tavg","amphibian","FD.FEve"
0.199036364145965,0.136707721271629,1.4559262804951,"LGM_sat_velocity","amphibian","FD.FEve"
-0.502740913403019,0.0945214655500705,-5.3188015069096,"LGM_dO_velocity","amphibian","FD.FEve"
-0.0731871769996589,0.0244377362819517,-2.99484273646536,"X50km_range","amphibian","FD.FEve"
-0.000314236504396505,0.0118036786195371,-0.0266219129243651,"pop_10000BC_value","amphibian","FD.FEve"
-0.131019799468285,0.122739333127639,-1.06746383681289,"(Intercept)","amphibian","FD.FDiv"
-0.0520069429077544,0.0714022558427623,-0.72836554383213,"prec","amphibian","FD.FDiv"
-0.133783451595941,0.0617849211756163,-2.16530909241881,"tavg","amphibian","FD.FDiv"
0.00711231114441447,0.147055338969695,0.0483648617877121,"LGM_sat_velocity","amphibian","FD.FDiv"
-0.144381561094066,0.100888876927633,-1.43109493822228,"LGM_dO_velocity","amphibian","FD.FDiv"
-0.0393713185014772,0.0301288394968329,-1.30676518442125,"X50km_range","amphibian","FD.FDiv"
-0.00365504605307161,0.0145499351971923,-0.251207033126644,"pop_10000BC_value","amphibian","FD.FDiv"
-0.02199492761567,0.140429655076022,-0.156625946305735,"(Intercept)","lizard","FD.FRic"
0.111719961795809,0.0605175696775347,1.84607482407347,"prec","lizard","FD.FRic"
0.115656536597411,0.0356705962338479,3.24234940843698,"tavg","lizard","FD.FRic"
0.172089235219404,0.119639078135262,1.43840321993156,"LGM_sat_velocity","lizard","FD.FRic"
-0.208974982601413,0.091479073395741,-2.28440204785833,"LGM_dO_velocity","lizard","FD.FRic"
0.022684020622147,0.0175695140155655,1.29110119961488,"X50km_range","lizard","FD.FRic"
-0.00998434890626711,0.0104320333626853,-0.95708559962821,"pop_10000BC_value","lizard","FD.FRic"
0.109938639083556,0.171589937925908,0.640705628852357,"(Intercept)","lizard","FD.FEve"
-0.0393775417896445,0.0493153869818544,-0.798483885042482,"prec","lizard","FD.FEve"
0.0348391718624287,0.0271570705476708,1.2828766564226,"tavg","lizard","FD.FEve"
0.410925634544932,0.125975267091438,3.26195485854112,"LGM_sat_velocity","lizard","FD.FEve"
-0.0382644052107962,0.0896609886280597,-0.426767603127021,"LGM_dO_velocity","lizard","FD.FEve"
-0.00384668667796323,0.0131977398877297,-0.291465562337654,"X50km_range","lizard","FD.FEve"
3.08836370554133e-05,0.00786015119845201,0.00392914032766896,"pop_10000BC_value","lizard","FD.FEve"
0.109736094445289,0.232698833233695,0.471579908331914,"(Intercept)","lizard","FD.FDiv"
0.0108930749323145,0.0560339647128631,0.19440128836384,"prec","lizard","FD.FDiv"
-0.0288245352344719,0.0323318419836419,-0.891521591904832,"tavg","lizard","FD.FDiv"
0.301087925631044,0.141149674989671,2.13311100895611,"LGM_sat_velocity","lizard","FD.FDiv"
0.0858763044554983,0.0910009743269042,0.943685549420642,"LGM_dO_velocity","lizard","FD.FDiv"
0.0150059764454414,0.0157022311184111,0.955658869894401,"X50km_range","lizard","FD.FDiv"
-0.00335754128997736,0.00933116645136894,-0.359820104750654,"pop_10000BC_value","lizard","FD.FDiv"
0.0892351559642111,0.15955725355033,0.559267309875468,"(Intercept)","bird","FD.FRic"
-0.0255887278571268,0.0249262312967266,-1.02657828825038,"prec","bird","FD.FRic"
0.036315158686196,0.0127340190697246,2.85182223203483,"tavg","bird","FD.FRic"
-0.287384355447305,0.0996514067805844,-2.88389662255423,"LGM_sat_velocity","bird","FD.FRic"
-0.131189634242278,0.0667025546768127,-1.96678575322816,"LGM_dO_velocity","bird","FD.FRic"
0.0673911036447261,0.00583038700332275,11.5585987013074,"X50km_range","bird","FD.FRic"
0.00301344677836778,0.00360493053421889,0.835923674468454,"pop_10000BC_value","bird","FD.FRic"
0.409332510461591,0.415230274299268,0.985796402134623,"(Intercept)","bird","FD.FEve"
-0.0313654536602045,0.0334378803591654,-0.938021588787913,"prec","bird","FD.FEve"
0.0236617983245334,0.0184472801092267,1.28267138485627,"tavg","bird","FD.FEve"
0.209975746015369,0.125773752530305,1.66947190324767,"LGM_sat_velocity","bird","FD.FEve"
-0.0203247766533429,0.0709085442235201,-0.28663367547463,"LGM_dO_velocity","bird","FD.FEve"
-0.00801724214568857,0.00852360920632709,-0.940592412394665,"X50km_range","bird","FD.FEve"
0.000544067468775392,0.00511379473355809,0.106392121139528,"pop_10000BC_value","bird","FD.FEve"
0.183426970864453,0.426196283556456,0.430381441465936,"(Intercept)","bird","FD.FDiv"
-0.00911439699486201,0.0451418793989814,-0.201905572302505,"prec","bird","FD.FDiv"
